pl_name,hostname,tic_id,period,depth_ppm,duration_hr,stellar_Teff,stellar_logg,stellar_rad,stellar_mass,label,tfop_disposition,discovery_method,facility
Kepler-726 b,Kepler-726,63000832,21.80451088000,,3.3931000,5452.00,4.530000,0.850000,0.880000,0,CP,Transit,Kepler
Kepler-1461 b,Kepler-1461,279915288,29.34947750000,,4.2070000,4919.00,4.600000,0.740000,0.790000,0,CP,Transit,Kepler
Kepler-1471 b,Kepler-1471,416282121,3.63899398000,,2.2130000,5660.00,4.480000,0.930000,0.950000,0,CP,Transit,Kepler
HD 212301 b,HD 212301,317057430,2.24571000000,,,6239.00,4.500000,1.160000,1.550000,0,CP,Radial Velocity,La Silla Observatory
GQ Lup b,GQ Lup,442623945,,,,,,,0.700000,0,CP,Imaging,Paranal Observatory
KMT-2019-BLG-1339L b,KMT-2019-BLG-1339L,,,,,,,,0.480000,0,CP,Microlensing,KMTNet
HD 159243 c,HD 159243,348652846,248.40000000000,,,6123.00,4.550000,1.120000,1.125000,0,CP,Radial Velocity,Haute-Provence Observatory
EPIC 205950854 c,K2-168,437695245,8.05072200000,,,5502.70,,0.830000,0.877000,0,CP,Transit,K2
KMT-2022-BLG-2076L b,KMT-2022-BLG-2076L,,,,,,,,0.670000,0,CP,Microlensing,KMTNet
K2-162 b,K2-162,94892940,9.45889000000,0.02669000,3.0000000,4842.00,4.630000,0.690000,0.750000,0,CP,Transit,K2
Kepler-1320 b,Kepler-1320,121603556,0.86838652800,,1.0575000,4817.00,4.600000,0.740000,0.800000,0,CP,Transit,Kepler
K2-80 b,K2-80,242961495,19.09180000000,,4.4600000,5441.00,4.519000,0.870000,0.900000,0,CP,Transit,K2
Kepler-24 b,Kepler-24,122376177,8.14000000000,,,6028.00,,1.099000,1.060000,0,CP,Transit,Kepler
HAT-P-56 b,HAT-P-56,84339983,2.79083000000,1.10000000,,6566.00,3.390000,1.470000,1.420000,0,CP,Transit,HATNet
Kepler-1701 b,Kepler-1701,120899838,169.13400000000,,,5146.00,4.528800,0.840217,0.870000,0,CP,Transit,Kepler
WASP-195 b,WASP-195,232567319,5.05192800000,0.36020000,,6300.00,4.140000,1.578000,1.300000,0,CP,Transit,SuperWASP
Kepler-93 c,Kepler-93,137151335,1460.00000000000,,,5669.00,4.468000,0.920000,0.910000,0,CP,Radial Velocity,W. M. Keck Observatory
HD 117207 b,HD 117207,405501056,2621.75000000000,,,5732.00,4.371000,1.074000,1.053000,0,CP,Radial Velocity,W. M. Keck Observatory
Kepler-1530 d,Kepler-1530,298892283,9.20761013000,,,5678.00,4.215000,1.303000,1.015000,0,CP,Transit,Kepler
TOI-1728 b,TOI-1728,285048486,3.49151000000,,1.9600000,3980.00,4.657000,0.624300,0.646000,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-610 b,Kepler-610,275491028,6.99692655400,,2.7377000,5943.00,4.370000,1.130000,1.100000,0,CP,Transit,Kepler
HD 188641 b,HD 188641,300611942,14583.81038000000,,,,,,1.070000,0,CP,Radial Velocity,Multiple Observatories
HD 221287 b,HD 221287,231716612,456.10000000000,,,6304.00,4.430000,,1.250000,0,CP,Radial Velocity,La Silla Observatory
K2-147 b,K2-147,398275886,0.96193900000,0.05450000,0.9024000,3690.00,4.665000,0.578000,0.563000,0,CP,Transit,K2
TOI-251 b,TOI-251,224225541,4.93777000000,,2.2320000,5875.00,4.560000,0.881000,1.036000,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
HD 30562 b,HD 30562,176379354,1157.00000000000,,,5882.00,4.070000,1.610000,1.120000,0,CP,Radial Velocity,Lick Observatory
Kepler-1047 c,Kepler-1047,299029323,3.18897601000,,2.4900000,5754.00,4.370000,1.130000,1.080000,0,CP,Transit,Kepler
HD 102329 c,HD 102329,325254372,1123.00000000000,,,,,,1.300000,0,CP,Radial Velocity,W. M. Keck Observatory
Kepler-1504 b,Kepler-1504,416281986,82.30400300000,,13.8430000,5393.00,4.550000,0.810000,0.850000,0,CP,Transit,Kepler
TOI-1452 b,TOI-1452,420112589,11.06201000000,0.30900000,,3185.00,4.950000,0.275000,0.249000,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-289 e,Kepler-289,273234825,330.07160000000,,,,,0.985000,1.061000,0,CP,Transit,Kepler
Kepler-1154 c,Kepler-1154,169561256,8.45808312000,,3.0680000,6327.00,4.230000,1.430000,1.260000,0,CP,Transit,Kepler
TOI-2654 b,TOI-2654,200805484,2.96760425926,,1.8137941,4594.08,4.637500,0.756095,,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
NY Vir c,NY Vir,175402069,8799.00000000000,,,32780.00,5.741930,0.151000,0.459000,0,CP,Eclipse Timing Variations,Winer Observatory
Kepler-30 c,Kepler-30,399794329,60.32310500000,1.62000000,,5498.00,4.770000,0.950000,0.990000,0,CP,Transit,Kepler
TOI-1246 e,TOI-1246,230127302,37.92548000000,,3.5440768,5213.00,4.510000,0.864900,0.888900,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
HIP 107772 b,HIP 107772,197602069,55.19900000000,,,,,,0.630000,0,CP,Radial Velocity,Multiple Observatories
Kepler-1898 b,Kepler-1898,121124617,4.76562023200,,,5702.00,4.258000,1.125000,0.837000,0,CP,Transit,Kepler
TIC 172900988 b,TIC 172900988 Aa,172900988,200.45200000000,,,6050.00,4.248500,1.384200,1.238400,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-1266 b,Kepler-1266,158167159,28.47474800000,,4.8090000,5044.00,4.590000,0.760000,0.800000,0,CP,Transit,Kepler
Kepler-739 b,Kepler-739,159225155,12.53248465000,,4.0098000,5601.00,4.510000,0.900000,0.930000,0,CP,Transit,Kepler
TOI-7149 b,TOI-7149,459323923,2.65206166000,,1.7256000,3363.00,4.880000,0.351000,0.344000,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
HD 97037 b,HD 97037,143046056,6449.08337000000,,,,,,1.060000,0,CP,Radial Velocity,Multiple Observatories
KMT-2021-BLG-0712L b,KMT-2021-BLG-0712L,,,,,,,,0.220000,0,CP,Microlensing,KMTNet
HAT-P-35 b,HAT-P-35,455096220,3.64670600000,,,6096.00,,1.435000,1.236000,0,CP,Transit,HATNet
TOI-2015 c,TOI-2015,368287008,5.58279600000,,,3297.00,5.040000,0.327300,0.304100,0,CP,Transit Timing Variations,Multiple Observatories
Kepler-1266 c,Kepler-1266,158167159,4.86631012000,,,4996.00,4.497000,0.831000,0.791000,0,CP,Transit,Kepler
Kepler-357 c,Kepler-357,159649595,16.85837000000,,2.0160000,5036.00,4.503000,0.834000,,0,CP,Transit,Kepler
Kepler-174 d,Kepler-174,158434144,247.35373000000,,8.7730000,4880.00,4.679000,0.622000,,0,CP,Transit,Kepler
Kepler-82 f,Kepler-82,63372898,75.73200000000,,,,,0.898000,0.910000,0,CP,Transit Timing Variations,KOINet
