tic_id,toi,ra,dec,period,depth_ppm,duration_hr,epoch_bjd,stellar_Teff,stellar_logg,stellar_rad,stellar_mass,tess_mag,planet_rad_earth,planet_snr,tfop_disposition,label,sectors
290131778,123.01,319.699588,-26.616374,3.3088922,4736.0,6.114,2460175.035028,6188.0,4.27166,2.62,1.263,7.87598,24.9862,133.0,CP,0,"1,28,68"
29831208,124.01,66.58263,-67.806354,1.8428078,1950.0,1.449,2460042.199513,5080.0,4.48159,4.09,,11.1311,21.2705,66.0,APC,0,"1,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,33,34,35,36,37,38,39,62,63,64"
52368076,125.01,23.593425,-66.676349,4.6517186,978.0,2.709,2460206.744249,5154.0,4.47072,0.85,0.91,10.1985,2.66889,26.0,CP,0,"1,2,28,68,69"
52368076,125.02,23.593425,-66.676349,9.1549418,1101.0,2.457,2460202.049893,5154.0,4.47072,0.85,0.91,10.1985,2.62011,18.0,CP,0,"1,2,28,68,69"
52368076,125.03,23.593425,-66.676349,19.9815709,909.0,2.724,2460181.146579,5154.0,4.47072,0.85,0.91,10.1985,2.54717,10.0,CP,0,"1,2,28,68,69"
52368076,125.04,23.593425,-66.676349,,738.76701563903,4.6235210769862,2460188.729278,5154.0,4.47072,0.8522660136222839,0.91,10.1985,2.9700035347110245,8.09336,PC,0,"1,2,28,68,69"
70440470,126.01,339.489275,-35.154203,3.0354016524573,16196.215815694,2.8809533412747,2458326.730861,5751.0,4.35036,1.0722399950027466,1.09,12.7923,14.133490265937192,87.98231,KP,0,"1,28,68"
234523599,127.01,15.551889,-61.756133,3.795517783809,52278.994097885,2.0198134847305,2458325.650603,3424.0,4.438,0.445371985435486,0.44159,14.1266,10.3261619477101,75.709694,CP,0,"1,2,28,29"
391949880,128.01,79.520938,-80.964384,4.9404714,455.0,1.954,2460175.867159,6086.0,4.26269,1.13,1.13,7.9849,2.3216,43.0,CP,0,"1,8,11,12,13,27,28,31,38,39,61,62,65,66,67,68"
201248411,129.01,0.185606,-54.830823,0.980972,6178.3924209755,0.54050355175474,2460205.646862,4486.0,4.49914,0.764401018619537,0.7,9.9005,5.91629233324987,167.35898,CP,0,"1,2,28,29,68,69"
263003176,130.01,12.546778,-83.743767,14.33921442256,392.63468715086,4.6064738553285,2458336.557651,6295.7,4.438,1.13742005825043,1.23,7.4371,2.29632326005693,32.31029,CP,0,"1,12,13,27,39,66"
235037761,131.01,353.828713,-64.561917,6.2407826,6114.0,1.513,2460173.338551,4174.0,4.34197,0.9,,9.8567,16.0959,14.0,APC,0,"1,28,68"
89020549,132.01,338.399662,-43.436872,2.1096804606003,1309.7297125835,2.1344042622108,2458326.904918,5673.0,4.55383,0.940805971622467,0.91,10.8061,3.639672521841595,23.500671,CP,0,"1,28,68"
219338557,133.01,354.397374,-58.955078,8.1995368499713,903.36944308293,2.1168277450972,2458327.280273,4028.0,4.55902,0.650533020496368,0.67,9.9762,1.92262107527196,14.419014,PC,0,"1,28,68"
234994474,134.01,350.028592,-60.065729,1.4015182601658,593.75409215611,1.158306136657,2458326.034032,3794.0,4.67812,0.597006976604462,0.58564,9.22978,1.46168531327277,20.450527,CP,0,"1,28,68"
267263253,135.01,7.328916,-76.304032,4.1269046,10831.0,4.405,2460174.637067,6888.0,4.23416,1.59,1.46,9.2205,17.0952,389.0,CP,0,"1,27,28,67,68"
410153553,136.01,340.496204,-69.172108,0.46293036734665,4507.3268774948,0.54094332913264,2458325.724125,3043.0,5.09707,0.18862399458885196,0.157909,11.9238,1.3560230560637,51.16733,CP,0,"1,27,28,67,68"
176957796,137.01,101.297491,-66.238326,4.8173797,1800.0,1.323,2459199.440315,4651.0,4.56937,0.69,0.74,10.702,1.71137,1000.0,FA,3,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31"
277683130,138.01,328.926018,-61.673257,6.1982658,3896.0,1.912,2460175.14238,5722.0,4.35582,1.11,,9.5739,7.84585,93.0,APC,0,"1,27,28,67,68"
62483237,139.01,336.402414,-34.909713,11.070857529664,1149.7328034023,2.1937616584613,2458334.891563,4356.0,4.53491,0.700726985931396,0.69,9.3636,2.33376480352517,12.694616,CP,0,"1,28,68"
140068425,140.01,330.301777,-49.060077,2.281343183223,1126.661948754,1.1601932632996,2458327.399828,6174.0,4.27404,2.35511,1.2,9.7828,12.73871943027,13.736684,APC,0,"1,28,68"
403224672,141.01,338.983717,-59.864829,1.0082361,228.0,1.41,2460178.671412,5795.29,4.438,1.13,1.04,7.384,1.7202,26.0,CP,0,"1,27,28,68"
