tic_id,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,ra,dec,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,tess_mag,e_Tmag,TESSflag,SPFlag,stellar_Teff,e_Teff,stellar_logg,e_logg,MH,e_MH,stellar_rad,e_rad,stellar_mass,e_mass,rho,e_rho,lum_class,lum,e_lum,stellar_dist_pc,e_d,ebv,e_ebv,numcont,tic_contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,objID
13021029,20190415,,6469-01972-1,320-006186,05011191-2603149,,J050111.91-260314.9,2959177048983750016,13200609,,STAR,tmgaia2,75.2996612893797,-26.0541574337006,tmgaia2,0.494681,0.0286745,3.1692,0.0425532,gaia2,2.01762,0.0228479,gaia2,227.120981850155,-34.7646826679633,69.8875546172474,-48.4721937957031,12.829,0.359,12.489,0.026,,,,,,,,,,,11.219,0.028,11.034,0.024,11.008,0.026,AAA-222-111-000-0-0,,10.915,0.023,10.949,0.021,10.966,0.091,9.337,,12.0702,0.00017,11.7231,0.0074,rered,spect,6244.52,102.135,4.20862,0.0752639,-0.123681,0.0694451,1.43256,0.0567035,1.21,0.170876,0.411569,0.0820595,DWARF,2.81137919,0.1213611,488.66,5.497,0.0321561,0.006203935,55,0.000566631148,,,0.000479342,0.00478325,0.00762462,panstarrs,0.185862,0.15589,0.056692,0.0567151,0.0512789,0.11284,0.0493447,0.101183,0.0910282,0.151694,5.436,5.558,bj2018,103.795,100.476,spect,12.3254,0.001037,11.6665,0.000744,1,,tycho2v3,tycho2b3,,0.456399135304302,0.659842483814203,75.2996636601785,-26.0541437885338,0.0136304525817125,0.0188002787462495,1,0,532973047
455096220,20190415,,0203-01079-1,474-039472,08130018+0447132,1237658425148440670,J081300.17+044713.2,3094733088793018240,37565285,,STAR,tmgaia2,123.250744356975,4.78706040274996,tmgaia2,-9.57011,0.0808019,-7.34847,0.0517255,gaia2,1.94478,0.0496808,gaia2,218.073836351007,20.3081603556544,124.406510356286,-14.7691813446505,12.838,0.426,12.389,0.092,14.6095,0.00466119,12.6873,0.000967877,12.387,0.00131907,12.3141,0.00194237,13.1573,0.00565494,11.358,0.024,11.072,0.023,11.03,0.021,AAA-222-111-000-0-0,,11.018,0.024,11.036,0.023,11.036,0.189,8.367,,12.2802,0.000334,11.8997,0.0063,rered,spect,6178.0,105.376,4.24497,0.0821288,0.12,0.03,1.35672,0.0661156,1.18,0.165146,0.472509,0.106406,DWARF,2.41583729,0.154896,506.965,12.872,0.0187424,0.00291003,109,0.0219519362,,,0.0003174578,0.00329647,0.00252359,panstarrs,0.140781,0.189512,0.0426276,0.0896035,0.0982043,0.114607,0.0821522,0.0821054,0.179072,0.13072,12.551,13.193,bj2018,117.649,93.1028,spect,12.5626,0.001753,11.8405,0.001155,1,,ucac4,tycho2b3,,1.25406352349763,0.802298746459637,123.250703008098,4.78702876350511,0.0368135332085106,0.0297965211583893,1,0,132491271
176831592,20190415,,7023-00946-1,286-003209,03154965-3248088,,J031549.70-324808.7,5054495054996235648,15043377,,STAR,tmgaia2,48.9569288194641,-32.8024428831368,tmgaia2,59.3558,0.0326367,10.8524,0.0384941,gaia2,5.29568,0.0265084,gaia2,232.13212086222,-58.3732386440052,33.5603176572805,-48.522153855184,10.046,0.036,9.575,0.002,,,,,,,,,,,8.587,0.034,8.392,0.038,8.285,0.026,AAA-111-111-000-0-0,,8.249,0.023,8.265,0.02,8.246,0.018,8.356,0.193,9.45127,0.000368,9.1013,0.006,rered,spect,6497.8,121.481,4.12583,0.0867529,0.1,0.12,1.65212,0.0738693,1.33,0.204241,0.294934,0.0682554,DWARF,4.38374043,0.2007715,187.812,0.942,0.011127,0.009855385,37,0.328236133,,,0.0018324831,0.0099802,0.00973057,schlegel,0.126758,0.281725,0.0675407,0.080198,0.0374083,0.0991025,0.104139,0.0693668,0.197417,0.204126,0.938,0.946,bj2018,130.693,112.269,spect,9.70748,0.001214,9.04446,0.000891,1,,tycho2v3,tycho2b3,,0.527557949023758,0.596992147511929,48.957232860474,-32.8023961578926,0.0156153246541036,0.0199549217688837,1,0,521006125
257605131,20190415,,7577-00172-1,261-004419,04115194-3756232,,J041151.93-375623.0,4844691297067063424,17537798,,STAR,tmgaia2,62.9664459171879,-37.9397832374178,tmgaia2,-11.1667,0.0392313,12.3745,0.0539505,gaia2,8.05268,0.0249561,gaia2,240.548149505377,-46.929928724467,48.1321244711823,-57.5150203084186,11.637,0.119,10.939,0.008,,,,,,,,,,,9.636,0.024,9.287,0.022,9.19,0.023,AAA-222-111-000-0-0,,9.137,0.024,9.173,0.02,9.117,0.027,8.632,0.292,10.7498,0.000849,10.2666,0.0061,rered,gaia2,5481.0,127.581,4.55516,0.0796995,,,0.856226,0.0441055,0.96,0.124766,1.52935,0.33478,DWARF,0.596088469,0.01853605,123.739,0.385,0.00718523,0.01001171,34,0.0352675319,,,0.00314684235,0.0102916,0.00973182,schlegel,0.124806,0.124727,0.0513714,0.0368397,0.252431,0.417129,0.0849867,0.0744123,0.0185153,0.0185568,0.384,0.386,bj2018,125.405,129.757,dered,11.1474,0.002669,10.2199,0.001747,1,,tycho2v3,tycho2b3,,0.643269288247808,0.836556866091896,62.9663849542785,-37.9397299583359,0.0183650182764697,0.0232847167243111,1,0,524263962
166833457,20190415,,,279-003963,03534291-3419414,,J035342.94-341941.6,4859136199796131200,15063157,,STAR,tmgaia2,58.4288359845908,-34.3282182116387,tmgaia2,33.6271,0.0302828,-12.4046,0.0378193,gaia2,3.52049,0.0202761,gaia2,234.933813349796,-50.5029148183395,44.2515253135048,-52.870268873906,13.746,0.032,13.252,0.069,,,,,,,,,,,11.691,0.027,11.295,0.021,11.284,0.023,AAA-222-111-000-0-0,,11.229,0.023,11.258,0.021,11.234,0.125,8.789,,12.8678,0.000194,12.3943,0.006,rered,gaia2,5526.0,126.747,4.71182,0.0786654,,,0.718635,0.0359297,0.97,0.123407,2.61364,0.572573,DWARF,0.433865964,0.0140891,281.742,1.6215,0.00401875,0.01014023,45,0.00211760518,,,0.000987442,0.0107199,0.00956056,schlegel,0.104312,0.142502,0.0287518,0.0431075,0.659305,0.485842,0.0906301,0.0667007,0.0162075,0.0119707,1.612,1.631,bj2018,105.93,147.565,dered,13.2447,0.001317,12.337,0.001096,1,,ucac4,apassdr9,,0.491462859257316,0.586487319967141,58.4290113051609,-34.3282716204585,0.0140274089622013,0.0183829546459936,1,0,523222681
206466531,20190415,,8500-00839-1,186-003505,03471564-5259065,,J034715.62-525906.6,4732891099328728832,24708503,,STAR,tmgaia2,56.8151995225024,-52.9851523804976,tmgaia2,-26.1938,0.0375753,-12.7877,0.0445812,gaia2,4.45258,0.023638,gaia2,263.768565370731,-48.5728855111008,23.7000214165563,-68.9083310856154,11.039,0.084,10.54,0.006,,,,,,,,,,,9.531,0.023,9.297,0.024,9.219,0.023,AAA-222-111-000-0-0,,9.193,0.023,9.226,0.02,9.204,0.03,8.48,,10.3761,0.000409,10.0081,0.006,rered,spect,6364.3,98.3123,4.29143,0.0818361,-0.16,0.1,1.3342,0.0548342,1.27,0.189232,0.534734,0.11451,DWARF,2.631123,0.1238345,223.145,1.186,0.0093813,0.01034224,42,0.007281418,,,0.00240807259,0.0119466,0.00873788,schlegel,0.156589,0.221876,0.0548774,0.054791,0.112731,0.11629,0.0757105,0.0879617,0.14038,0.107289,1.18,1.192,bj2018,102.951,93.6736,spect,10.6619,0.000874,9.96439,0.000874,1,,tycho2v3,tycho2b3,,0.651077300762464,0.691312490648374,56.815012189034,-52.985207438798,0.0206014771839529,0.020495717906384,1,0,522781994
176984236,20190415,,8907-00679-1,119-011795,06473825-6619420,,J064738.26-661941.9,5281979161764966272,32466770,,STAR,tmgaia2,101.909535392822,-66.3283246256499,tmgaia2,-4.0,2.5,1.8,2.3,tycho2,,,,276.626838161389,-25.0584074013282,182.676390753717,-85.2420822736625,11.579,0.128,11.03,0.009,,,,,,,,,,,10.079,0.023,9.804,0.024,9.793,0.024,AAA-222-111-000-0-0,,9.735,0.022,9.756,0.02,9.779,0.037,9.139,,10.9205,0.000522,10.5683,0.006,gbprp,splin,6138.0,,,,,,1.29372,,,,,,DWARF,,,266.9,,,,177,0.08525832,,,0.003910021,,,,,,,,,,,,,,,,,,,dered,11.1683,0.001259,10.5014,0.000654,0,,tycho2v3,tycho2b3,,46.3334195363786,35.7142321797037,101.909492497594,-66.3283168756557,1.90166391157939,2.14099980985225,1,-1,571899827
1528696,20190415,,,299-006015,05031090-3023576,,J050310.89-302357.9,4875693023844840448,15101850,,STAR,tmgaia2,75.7954286496495,-30.3993664549279,tmgaia2,-9.33853,0.0246327,-21.995,0.0264211,gaia2,3.21508,0.0147539,gaia2,232.393683167108,-35.4505983480642,69.4928784193534,-52.8321276187039,15.171,0.014,14.237,0.126,,,,,,,,,,,12.222,0.033,11.767,0.038,11.65,0.032,AAA-222-111-000-0-0,,11.555,0.027,11.636,0.027,11.424,0.161,8.899,,13.8175,0.000577,13.1686,0.0062,rered,gaia2,4669.0,122.0,4.5199,,,,0.782888,,0.74,,1.54217,,DWARF,0.2624153,,308.262,1.4125,0.0133724,0.00253954,,,,,,0.00114263,0.00393645,panstarrs,,,,,,,,,,,1.407,1.418,bj2018,,,dered,14.4012,0.002689,13.1127,0.001522,1,,ucac4,apassdr9,,0.395792164336907,0.409728968408376,75.7953820332298,-30.3994611556314,0.0107001650710092,0.0128616822884584,1,0,532779697
317548889,20190415,27849,5931-00252-1,369-010083,05533088-1615537,,J055330.85-161554.9,2992025233741516928,7662855,,STAR,tmgaia2,88.3786565671519,-16.2650097652702,tmgaia2,-43.4194,0.0770483,-90.042,0.0839451,gaia2,18.3095,0.0416137,gaia2,221.486109740894,-19.9592584959725,87.9771211335894,-39.6929069675297,7.773,0.0,7.28,0.03,,,,,,,,,,,6.316,0.03,6.071,0.04,6.01,0.033,AAA-111-111-000-0-0,,6.007,0.115,5.945,0.038,6.02,0.016,5.958,0.041,7.1442,0.000253,6.7799,0.006,gbprp,spect,6212.63,104.754,4.16504,0.0758095,,,1.50004,0.0580779,1.2,0.163384,0.355529,0.0701462,DWARF,3.01995564,0.1038287,54.5306,0.12465,0.0,0.0,157,0.00230491138,,,0.004230523,0.0,0.0,,0.145277,0.181492,0.0658452,0.0503106,0.0519548,0.0883376,0.0729965,0.0786225,0.0873024,0.120355,0.1244,0.1249,bj2018,127.226,82.2828,spect,7.43561,0.002291,6.74559,0.00208,1,,hipvmag,apassdr9,,1.20681011569504,1.30169955252733,88.3784618283881,-16.2653974461944,0.0321749013975745,0.0378533318737631,1,0,554198964
14091633,20190415,,7053-00841-1,268-006252,05090244-3627525,,J050902.43-362752.2,4823999931341640832,,,STAR,tmgaia2,77.2601944445409,-36.4645595190977,tmgaia2,-7.17257,0.0458596,18.997,0.0633628,gaia2,7.89657,0.0278756,gaia2,239.991241349744,-35.4688477602689,69.8485308644917,-59.0158305158376,9.774,0.038,9.285,0.003,,,,,,,,,,,8.473,0.021,8.253,0.046,8.205,0.024,AAA-111-111-000-0-0,,8.141,0.023,8.157,0.021,8.134,0.02,8.11,0.161,9.20363,0.000297,8.8695,0.006,rered,gaia2,6434.0,138.724,4.34854,0.085065,,,1.26396,0.0558895,1.3,0.197661,0.643784,0.143,DWARF,2.46653819,0.109772652,126.177,0.447,0.00770171,0.0105999252,42,0.150032461,,,0.003666451,0.00947065,0.0117292,schlegel,0.175694,0.219628,0.0500462,0.0617327,0.123364,0.162635,0.0778748,0.0922552,0.0955613,0.123984,0.446,0.448,bj2018,119.275,158.173,dered,9.46103,0.001579,8.82801,0.001352,1,,tycho2v3,tycho2b3,,0.748696658904654,0.9824474102612,77.2601560449477,-36.4644777264643,0.0212097264089003,0.0252297661776588,1,0,535809510
