tic_id,status,reason,out_path,n_cadences,baseline_days,rms_raw,rms_detrended
SYN_0016,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0016.npz,17541.0,27.743,0.002957,0.002295
SYN_0017,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0017.npz,17570.0,27.881,0.002408,0.000861
SYN_0018,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0018.npz,17245.0,27.88,0.002052,0.000967
SYN_0019,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0019.npz,17301.0,27.744,0.002573,0.001061
SYN_0020,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0020.npz,17570.0,27.881,0.002408,0.000861
SYN_0021,gated,rms 0.0087 > 5.0× expected 0.0014,,,,,
SYN_0022,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0022.npz,16823.0,27.881,0.002676,0.000871
SYN_0023,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0023.npz,17541.0,27.743,0.002957,0.002295
SYN_0024,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0024.npz,16079.0,27.744,0.003257,0.00107
SYN_0025,gated,rms 0.0078 > 5.0× expected 0.0014,,,,,
SYN_0026,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0026.npz,17556.0,27.881,0.002411,0.000878
SYN_0027,gated,rms 0.0078 > 5.0× expected 0.0014,,,,,
SYN_0028,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0028.npz,17592.0,27.88,0.001204,0.000968
SYN_0029,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0029.npz,17570.0,27.881,0.002408,0.000861
SYN_0030,gated,rms 0.0079 > 5.0× expected 0.0014,,,,,
SYN_0031,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0031.npz,18023.0,27.881,0.006665,0.005747
SYN_0032,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0032.npz,17439.0,27.88,0.002078,0.000963
SYN_0033,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0033.npz,18023.0,27.881,0.006665,0.005747
SYN_0034,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0034.npz,15077.0,26.102,0.001889,0.001157
SYN_0035,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0035.npz,17552.0,27.881,0.002414,0.000864
SYN_0036,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0036.npz,17310.0,27.881,0.002436,0.000783
SYN_0037,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0037.npz,17675.0,27.88,0.005146,0.003961
SYN_0038,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0038.npz,17280.0,27.88,0.001626,0.000965
SYN_0039,gated,rms 0.0087 > 5.0× expected 0.0014,,,,,
SYN_0040,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0040.npz,17301.0,27.744,0.002573,0.001061
SYN_0041,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0041.npz,17593.0,27.88,0.001197,0.00096
SYN_0042,gated,rms 0.0070 > 5.0× expected 0.0014,,,,,
SYN_0043,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0043.npz,18024.0,27.881,0.006668,0.005749
SYN_0044,gated,rms 0.0087 > 5.0× expected 0.0014,,,,,
SYN_0045,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0045.npz,17672.0,27.88,0.00516,0.003969
SYN_0046,gated,rms 0.0087 > 5.0× expected 0.0014,,,,,
SYN_0047,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0047.npz,17670.0,27.88,0.005144,0.003944
SYN_0048,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0048.npz,17248.0,27.744,0.002584,0.001073
SYN_0049,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\SYN_0049.npz,17291.0,27.744,0.002621,0.00108
